Team,Season,Games,PA,AB,PPG,H,2B,3B,HR,TB,RBI,DB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,GP,CG,Shout out,Starting,Win,Lose,Save,Hold,Inning,R,ER,Batters Faced,HPG,HRPG,BBPG,IBBPG,HBPPG,KPG,Balk,WPPG,ERA,FIP,WHIP,ERA+,FIP+,RPG,WAR
KT,15,144,5605,4927,4.65,1344,221,15,129,1982,633,124,52,507,58,21,1112,118,75,37,0.273,0.345,0.402,0.748,0.335,88.7,652,3,0,144,52,91,16,31,1266.2,875,782,5799,10.54,1.07,4.01,0.12,0.6,7.26,4,0.61,5.56,5.08,1.65,90.4,96.6,6.08,28.97
LG,23,144,5687,4881,5.33,1364,227,27,93,1924,714,166,102,583,73,16,804,89,94,55,0.279,0.361,0.394,0.755,0.349,114.4,737,0,0,144,86,56,37,92,1293.1,610,531,5619,8.79,0.51,3.41,0.1,0.53,6.78,5,0.33,3.7,3.96,1.36,110.5,103.4,4.24,48.34
LG,22,144,5627,4927,4.97,1325,208,33,118,1953,674,102,46,501,103,18,924,109,49,46,0.269,0.346,0.396,0.742,0.34,113.4,748,0,0,144,87,55,43,107,1288.0,520,476,5432,8.19,0.65,3.13,0.19,0.41,7.16,0,0.35,3.33,3.81,1.27,119.5,104.4,3.61,58.739999999999995
LG,21,144,5533,4750,4.54,1188,210,11,110,1750,622,92,34,593,93,16,926,102,52,45,0.25,0.342,0.368,0.71,0.334,99.4,697,0,0,144,72,58,32,81,1272.1,561,507,5453,7.82,0.56,3.78,0.12,0.68,7.42,5,0.31,3.59,3.95,1.31,120.3,110.0,3.9,47.72
LG,20,144,5681,4999,5.57,1384,253,29,149,2142,760,83,39,509,75,21,969,115,49,49,0.277,0.349,0.428,0.778,0.35,108.6,653,2,2,144,79,61,29,67,1292.2,694,631,5655,9.33,0.85,3.42,0.08,0.6,7.08,4,0.34,4.39,4.53,1.42,105.4,102.0,4.82,42.71
LG,19,144,5536,4928,4.45,1316,233,15,94,1861,604,108,47,434,77,17,962,117,49,48,0.267,0.333,0.378,0.711,0.327,99.0,600,1,0,144,79,64,43,62,1283.1,633,554,5555,8.73,0.62,3.47,0.1,0.63,6.62,1,0.44,3.89,4.16,1.37,105.2,97.8,4.4,37.05
LG,18,144,5665,5070,5.47,1487,299,12,148,2254,740,71,38,418,75,14,1001,125,51,51,0.293,0.353,0.445,0.797,0.347,102.5,601,3,2,144,68,75,29,43,1268.2,816,750,5677,9.96,1.1,3.15,0.09,0.62,7.35,4,0.5,5.32,5.05,1.49,94.8,99.2,5.67,36.35
LG,17,144,5614,4944,4.85,1390,216,20,110,1976,664,77,56,438,101,17,1021,123,76,55,0.281,0.348,0.4,0.748,0.333,93.0,619,4,1,144,69,72,32,66,1279.0,677,614,5507,9.06,0.86,2.63,0.22,0.71,7.22,3,0.56,4.32,4.43,1.32,112.0,109.1,4.7,35.019999999999996
LG,16,144,5765,5051,5.46,1464,238,26,118,2108,744,121,70,523,72,10,982,92,65,54,0.29,0.361,0.417,0.779,0.352,98.0,676,2,2,144,71,71,34,75,1287.2,807,729,5782,9.9,0.85,3.74,0.19,0.76,6.31,1,0.58,5.1,5.06,1.53,99.8,99.0,5.6,34.61
LG,15,144,5599,4941,4.53,1331,252,22,114,1969,601,113,62,462,80,18,1076,98,75,41,0.269,0.339,0.399,0.738,0.33,92.1,616,3,1,144,64,78,25,44,1279.2,721,660,5599,9.39,0.87,3.4,0.21,0.68,7.38,3,0.58,4.64,4.53,1.44,101.1,103.3,5.01,37.5
LG,14,128,5070,4349,5.21,1214,213,22,90,1741,623,104,64,524,63,16,817,112,77,57,0.279,0.361,0.4,0.761,0.343,95.6,574,2,1,128,62,64,35,65,1142.2,643,584,5028,9.46,0.81,3.27,0.2,0.74,6.33,1,0.4,4.6,4.91,1.43,107.6,102.8,5.02,42.92
LG,13,128,4934,4291,4.81,1210,194,38,59,1657,574,139,71,451,59,11,806,80,91,42,0.282,0.355,0.386,0.741,0.343,100.9,579,4,2,128,74,54,42,86,1134.2,510,469,4848,8.84,0.58,3.17,0.0,0.68,6.42,2,0.36,3.72,4.05,1.36,114.1,104.8,3.98,49.370000000000005
